experiment,phase,step,training_loss
Generic 0.5k,single,25,1.620275
Generic 0.5k,single,50,1.032073
Generic 1k,single,25,1.750352
Generic 1k,single,50,0.974906
Generic 1k,single,75,0.990577
Generic 1k,single,100,0.98091
Generic 1k,single,125,0.985432
Generic 2k,single,25,1.960614
Generic 2k,single,50,0.979909
Generic 2k,single,75,0.973849
Generic 2k,single,100,0.988906
Generic 2k,single,125,0.972377
Generic 2k,single,150,0.954617
Generic 2k,single,175,0.937253
Generic 2k,single,200,0.98376
Generic 2k,single,225,0.939872
Generic 2k,single,250,0.957066
Generic 4k,single,25,2.176014
Generic 4k,single,50,0.973183
Generic 4k,single,75,0.94111
Generic 4k,single,100,0.958697
Generic 4k,single,125,0.934569
Generic 4k,single,150,0.960691
Generic 4k,single,175,0.951968
Generic 4k,single,200,1.022513
Generic 4k,single,225,0.985504
Generic 4k,single,250,0.907185
Generic 4k,single,275,0.96645
Generic 4k,single,300,0.938959
Generic 4k,single,325,0.931174
Generic 4k,single,350,0.943763
Generic 4k,single,375,0.933805
Generic 4k,single,400,0.967852
Generic 4k,single,425,0.971259
Generic 4k,single,450,0.981115
Generic 4k,single,475,0.928932
Generic 4k,single,500,0.95392
Domain 0.5k,single,25,1.632793
Domain 0.5k,single,50,0.987396
Domain 1k,single,25,1.76425
Domain 1k,single,50,1.008227
Domain 1k,single,75,1.006584
Domain 1k,single,100,1.016034
Domain 1k,single,125,0.956986
Domain 2k,single,25,1.915204
Domain 2k,single,50,0.994717
Domain 2k,single,75,0.989529
Domain 2k,single,100,1.003823
Domain 2k,single,125,0.999586
Domain 2k,single,150,0.949832
Domain 2k,single,175,0.997385
Domain 2k,single,200,0.975392
Domain 2k,single,225,0.992491
Domain 2k,single,250,0.958561
Domain 4k,single,25,2.25987
Domain 4k,single,50,1.0334
Domain 4k,single,75,0.994088
Domain 4k,single,100,1.021111
Domain 4k,single,125,1.015484
Domain 4k,single,150,0.956223
Domain 4k,single,175,0.974594
Domain 4k,single,200,0.968319
Domain 4k,single,225,0.96999
Domain 4k,single,250,0.986769
Domain 4k,single,275,0.986832
Domain 4k,single,300,0.988891
Domain 4k,single,325,0.989003
Domain 4k,single,350,0.96997
Domain 4k,single,375,0.992314
Domain 4k,single,400,0.941509
Domain 4k,single,425,0.945653
Domain 4k,single,450,0.950397
Domain 4k,single,475,0.941314
Domain 4k,single,500,0.946271
Generic→Domain 0.5k+0.5k,phase1_generic,25,1.606106
Generic→Domain 0.5k+0.5k,phase1_generic,50,1.027089
Generic→Domain 0.5k+0.5k,phase2_domain,25,1.027149
Generic→Domain 0.5k+0.5k,phase2_domain,50,0.968224
Generic→Domain 1k+1k,phase1_generic,25,1.750352
Generic→Domain 1k+1k,phase1_generic,50,0.974906
Generic→Domain 1k+1k,phase1_generic,75,0.990577
Generic→Domain 1k+1k,phase1_generic,100,0.98091
Generic→Domain 1k+1k,phase1_generic,125,0.985432
Generic→Domain 1k+1k,phase2_domain,25,1.000371
Generic→Domain 1k+1k,phase2_domain,50,0.986166
Generic→Domain 1k+1k,phase2_domain,75,0.994962
Generic→Domain 1k+1k,phase2_domain,100,1.00459
Generic→Domain 1k+1k,phase2_domain,125,0.949661
Generic→Domain 2k+2k,phase1_generic,25,1.960614
Generic→Domain 2k+2k,phase1_generic,50,0.979909
Generic→Domain 2k+2k,phase1_generic,75,0.973849
Generic→Domain 2k+2k,phase1_generic,100,0.988939
Generic→Domain 2k+2k,phase1_generic,125,0.972321
Generic→Domain 2k+2k,phase1_generic,150,0.95407
Generic→Domain 2k+2k,phase1_generic,175,0.93756
Generic→Domain 2k+2k,phase1_generic,200,0.983635
Generic→Domain 2k+2k,phase1_generic,225,0.940065
Generic→Domain 2k+2k,phase1_generic,250,0.957077
Generic→Domain 2k+2k,phase2_domain,25,0.972332
Generic→Domain 2k+2k,phase2_domain,50,0.963867
Generic→Domain 2k+2k,phase2_domain,75,0.973862
Generic→Domain 2k+2k,phase2_domain,100,0.994566
Generic→Domain 2k+2k,phase2_domain,125,0.990533
Generic→Domain 2k+2k,phase2_domain,150,0.940767
Generic→Domain 2k+2k,phase2_domain,175,0.989051
Generic→Domain 2k+2k,phase2_domain,200,0.968282
Generic→Domain 2k+2k,phase2_domain,225,0.985333
Generic→Domain 2k+2k,phase2_domain,250,0.950768
Mixed 0.5k+0.5k,single,25,1.805652
Mixed 0.5k+0.5k,single,50,1.04276
Mixed 0.5k+0.5k,single,75,0.984537
Mixed 0.5k+0.5k,single,100,0.973438
Mixed 0.5k+0.5k,single,125,0.966166
Mixed 1k+1k,single,25,1.944044
Mixed 1k+1k,single,50,1.038082
Mixed 1k+1k,single,75,0.981662
Mixed 1k+1k,single,100,0.963971
Mixed 1k+1k,single,125,0.990824
